date,close,high,low,open
2020-05-11 19:30:00+00:00,5.19,5.22,5.14,5.175
2020-05-11 19:40:00+00:00,5.345,5.355,5.195,5.195
2020-05-11 19:50:00+00:00,5.325,5.36,5.2,5.34
2020-05-11 20:00:00+00:00,5.325,5.325,5.325,5.325
2020-05-12 13:30:00+00:00,5.525,5.83,5.51,5.77
2020-05-12 13:40:00+00:00,5.51,5.64,5.505,5.54
2020-05-12 13:50:00+00:00,5.53,5.55,5.35,5.51
2020-05-12 14:00:00+00:00,5.53,5.585,5.505,5.58
2020-05-12 14:10:00+00:00,5.565,5.57,5.495,5.545
2020-05-12 14:20:00+00:00,5.645,5.645,5.55,5.565
2020-05-12 14:30:00+00:00,5.64,5.75,5.61,5.645
2020-05-12 14:40:00+00:00,5.59,5.7,5.56,5.64
2020-05-12 14:50:00+00:00,5.59,5.625,5.55,5.595
2020-05-12 15:00:00+00:00,5.56,5.6,5.535,5.58
2020-05-12 15:10:00+00:00,5.625,5.625,5.56,5.585
2020-05-12 15:20:00+00:00,5.635,5.655,5.61,5.625
2020-05-12 15:30:00+00:00,5.655,5.69,5.635,5.655
2020-05-12 15:40:00+00:00,5.63,5.685,5.6,5.645
2020-05-12 15:50:00+00:00,5.61,5.63,5.59,5.625
2020-05-12 16:00:00+00:00,5.65,5.655,5.585,5.615
2020-05-12 16:10:00+00:00,5.61,5.645,5.6,5.64
2020-05-12 16:20:00+00:00,5.585,5.645,5.58,5.61
2020-05-12 16:30:00+00:00,5.56,5.58,5.54,5.58
2020-05-12 16:40:00+00:00,5.565,5.575,5.55,5.56
2020-05-12 16:50:00+00:00,5.55,5.575,5.54,5.57
2020-05-12 17:00:00+00:00,5.535,5.565,5.5,5.55
2020-05-12 17:10:00+00:00,5.51,5.565,5.5,5.535
2020-05-12 17:20:00+00:00,5.465,5.51,5.435,5.505
2020-05-12 17:30:00+00:00,5.48,5.48,5.445,5.475
2020-05-12 17:40:00+00:00,5.475,5.505,5.47,5.48
2020-05-12 17:50:00+00:00,5.485,5.505,5.47,5.5
2020-05-12 18:00:00+00:00,5.465,5.505,5.46,5.5
2020-05-12 18:10:00+00:00,5.41,5.465,5.41,5.445
2020-05-12 18:20:00+00:00,5.385,5.43,5.375,5.425
2020-05-12 18:30:00+00:00,5.385,5.405,5.35,5.385
2020-05-12 18:40:00+00:00,5.4,5.41,5.37,5.4
2020-05-12 18:50:00+00:00,5.355,5.4,5.355,5.4
2020-05-12 19:00:00+00:00,5.14,5.36,5.0,5.355
2020-05-12 19:10:00+00:00,5.13,5.15,4.91,5.14
2020-05-12 19:20:00+00:00,5.085,5.17,5.05,5.155
2020-05-12 19:30:00+00:00,5.005,5.1,4.955,5.1
2020-05-12 19:40:00+00:00,5.01,5.055,4.98,4.985
2020-05-12 19:50:00+00:00,5.075,5.1,5.005,5.02
2020-05-12 20:00:00+00:00,5.075,5.075,5.075,5.075
2020-05-13 13:30:00+00:00,4.665,4.98,4.635,4.96
2020-05-13 13:40:00+00:00,4.84,4.87,4.71,4.71
2020-05-13 13:50:00+00:00,4.73,4.83,4.69,4.795
2020-05-13 14:00:00+00:00,4.76,4.82,4.73,4.74
2020-05-13 14:10:00+00:00,4.75,4.76,4.74,4.76
2020-05-13 14:20:00+00:00,4.705,4.75,4.685,4.75
2020-05-13 14:30:00+00:00,4.79,4.81,4.715,4.715
2020-05-13 14:40:00+00:00,4.89,4.97,4.8,4.8
2020-05-13 14:50:00+00:00,4.79,4.97,4.77,4.89
2020-05-13 15:00:00+00:00,4.765,4.8,4.76,4.8
2020-05-13 15:10:00+00:00,4.84,4.84,4.74,4.765
2020-05-13 15:20:00+00:00,4.785,4.82,4.73,4.82
2020-05-13 15:30:00+00:00,4.735,4.78,4.71,4.74
2020-05-13 15:40:00+00:00,4.705,4.74,4.705,4.74
2020-05-13 15:50:00+00:00,4.72,4.725,4.675,4.715
2020-05-13 16:00:00+00:00,4.625,4.72,4.6,4.72
2020-05-13 16:10:00+00:00,4.53,4.59,4.51,4.585
2020-05-13 16:20:00+00:00,4.64,4.64,4.52,4.57
2020-05-13 16:30:00+00:00,4.68,4.74,4.655,4.67
2020-05-13 16:40:00+00:00,4.65,4.68,4.635,4.67
2020-05-13 16:50:00+00:00,4.67,4.715,4.67,4.705
2020-05-13 17:00:00+00:00,4.64,4.7,4.615,4.69
2020-05-13 17:10:00+00:00,4.66,4.71,4.645,4.67
2020-05-13 17:20:00+00:00,4.64,4.67,4.625,4.655
2020-05-13 17:30:00+00:00,4.6,4.63,4.59,4.63
2020-05-13 17:40:00+00:00,4.54,4.6,4.54,4.6
2020-05-13 17:50:00+00:00,4.535,4.555,4.52,4.545
2020-05-13 18:00:00+00:00,4.56,4.59,4.555,4.57
2020-05-13 18:10:00+00:00,4.585,4.595,4.555,4.555
2020-05-13 18:20:00+00:00,4.61,4.62,4.585,4.585
2020-05-13 18:30:00+00:00,4.61,4.61,4.605,4.61
2020-05-13 18:40:00+00:00,4.595,4.615,4.59,4.605
2020-05-13 18:50:00+00:00,4.555,4.615,4.555,4.595
2020-05-13 19:00:00+00:00,4.595,4.605,4.57,4.57
2020-05-13 19:10:00+00:00,4.59,4.6,4.575,4.6
2020-05-13 19:20:00+00:00,4.54,4.59,4.54,4.59
2020-05-13 19:30:00+00:00,4.57,4.58,4.555,4.565
2020-05-13 19:40:00+00:00,4.605,4.615,4.57,4.57
2020-05-13 19:50:00+00:00,4.605,4.635,4.605,4.61
2020-05-13 20:00:00+00:00,4.605,4.605,4.605,4.605
2020-05-14 13:30:00+00:00,4.345,4.38,4.27,4.27
2020-05-14 13:40:00+00:00,4.29,4.345,4.25,4.345
2020-05-14 13:50:00+00:00,4.21,4.305,4.11,4.29
2020-05-14 14:00:00+00:00,4.225,4.225,4.15,4.18
2020-05-14 14:10:00+00:00,4.28,4.3,4.22,4.245
2020-05-14 14:20:00+00:00,4.405,4.43,4.32,4.32
2020-05-14 14:30:00+00:00,4.545,4.59,4.4,4.405
2020-05-14 14:40:00+00:00,4.51,4.585,4.425,4.555
2020-05-14 14:50:00+00:00,4.48,4.585,4.45,4.51
2020-05-14 15:00:00+00:00,4.53,4.565,4.47,4.475
2020-05-14 15:10:00+00:00,4.535,4.54,4.475,4.5
2020-05-14 15:20:00+00:00,4.425,4.565,4.41,4.565
2020-05-14 15:30:00+00:00,4.43,4.455,4.41,4.41
2020-05-14 15:40:00+00:00,4.495,4.495,4.435,4.435
2020-05-14 15:50:00+00:00,4.525,4.56,4.485,4.5
2020-05-14 16:00:00+00:00,4.555,4.555,4.525,4.53
2020-05-14 16:10:00+00:00,4.545,4.56,4.535,4.555
2020-05-14 16:20:00+00:00,4.52,4.545,4.52,4.545
2020-05-14 16:30:00+00:00,4.51,4.53,4.505,4.52
2020-05-14 16:40:00+00:00,4.52,4.53,4.52,4.525
2020-05-14 16:50:00+00:00,4.5,4.53,4.5,4.52
2020-05-14 17:00:00+00:00,4.5,4.5,4.455,4.5
2020-05-14 17:10:00+00:00,4.455,4.5,4.455,4.5
2020-05-14 17:20:00+00:00,4.51,4.51,4.455,4.455
2020-05-14 17:30:00+00:00,4.47,4.51,4.45,4.51
2020-05-14 17:40:00+00:00,4.475,4.48,4.47,4.48
2020-05-14 17:50:00+00:00,4.47,4.475,4.47,4.475
2020-05-14 18:00:00+00:00,4.455,4.47,4.445,4.47
2020-05-14 18:10:00+00:00,4.465,4.475,4.455,4.455
2020-05-14 18:20:00+00:00,4.52,4.525,4.465,4.465
2020-05-14 18:30:00+00:00,4.515,4.53,4.515,4.53
2020-05-14 18:40:00+00:00,4.54,4.54,4.51,4.52
2020-05-14 18:50:00+00:00,4.605,4.605,4.54,4.54
2020-05-14 19:00:00+00:00,4.645,4.645,4.6,4.605
2020-05-14 19:10:00+00:00,4.54,4.645,4.52,4.645
2020-05-14 19:20:00+00:00,4.575,4.59,4.54,4.54
2020-05-14 19:30:00+00:00,4.595,4.6,4.58,4.58
2020-05-14 19:40:00+00:00,4.585,4.6,4.57,4.58
2020-05-14 19:50:00+00:00,4.505,4.585,4.505,4.585
2020-05-14 20:00:00+00:00,4.505,4.505,4.505,4.505
2020-05-15 13:30:00+00:00,4.48,4.48,4.46,4.46
2020-05-15 13:40:00+00:00,4.5,4.52,4.48,4.48
2020-05-15 13:50:00+00:00,4.465,4.51,4.455,4.475
2020-05-15 14:00:00+00:00,4.45,4.465,4.445,4.465
2020-05-15 14:10:00+00:00,4.55,4.55,4.475,4.495
2020-05-15 14:20:00+00:00,4.55,4.55,4.55,4.55
2020-05-15 14:30:00+00:00,4.525,4.55,4.525,4.55
2020-05-15 14:40:00+00:00,4.51,4.525,4.51,4.525
2020-05-15 14:50:00+00:00,4.47,4.51,4.46,4.51
2020-05-15 15:00:00+00:00,4.455,4.47,4.45,4.47
2020-05-15 15:10:00+00:00,4.51,4.51,4.455,4.455
2020-05-15 15:20:00+00:00,4.515,4.545,4.5,4.51
2020-05-15 15:30:00+00:00,4.48,4.515,4.48,4.515
2020-05-15 15:40:00+00:00,4.47,4.48,4.46,4.48
2020-05-15 15:50:00+00:00,4.465,4.47,4.465,4.47
2020-05-15 16:00:00+00:00,4.485,4.49,4.465,4.465
2020-05-15 16:10:00+00:00,4.47,4.49,4.465,4.49
2020-05-15 16:20:00+00:00,4.5,4.5,4.48,4.48
2020-05-15 16:30:00+00:00,4.48,4.5,4.47,4.5
